ID,Condition,Set,TrialIndex,trial_id,task_num,Front_Char,Back_Char,status_used,status_label_used,User_Key,Accuracy,RT,Result_Type,Judgment_JP,image_name,folder_name,file_name,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,status_label,back_char,Timestamp
000,Bright,0,11,000_0_11,11,X,3,4,Ignore,,1,,CorrectRejection,正解（無視(IGNORE)：押さない）,000_0_11_X_3_taxi_sharpness0.266_blur1_gamma0.857.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\3_taxi.png,sharpness,0.266,blur,1.0,gamma,0.857,4,Ignore,3,
000,Bright,0,12,000_0_12,12,Y,4,4,Ignore,b,0,0.17265892028808594,FalseAlarm,誤反応（無視(IGNORE)で押した）,000_0_12_Y_4_mazda_brightness32_gamma1.735_blur4.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\4_mazda.png,brightness,32.0,gamma,1.735,blur,4.0,4,Ignore,4,2025-12-21 02:48:14.384780
000,Bright,0,13,000_0_13,13,Z,2,4,Ignore,,1,,CorrectRejection,正解（無視(IGNORE)：押さない）,000_0_13_Z_2_mazda_contrast1.202_brightness33_blur1.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\2_mazda.png,contrast,1.202,brightness,33.0,blur,1.0,4,Ignore,2,
000,Bright,0,14,000_0_14,14,7,7,1,Match,,0,,Omission,無反応（ターゲット）,000_0_14_7_7_mazda_equalization1.899_sharpness0.237_brightness4.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\7_mazda.png,equalization,1.899,sharpness,0.237,brightness,4.0,1,Match,7,
000,Bright,0,15,000_0_15,15,9,4,2,Mismatch,,0,,Omission,無反応（ターゲット）,000_0_15_9_4_mazda_gamma1.222_brightness9_sharpness0.637.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\4_mazda.png,gamma,1.222,brightness,9.0,sharpness,0.637,2,Mismatch,4,
000,Bright,0,16,000_0_16,16,T,3,4,Ignore,,1,,CorrectRejection,正解（無視(IGNORE)：押さない）,000_0_16_T_3_truck_contrast0.811_gamma0.701_equalization3.381.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\3_truck.png,contrast,0.811,gamma,0.701,equalization,3.381,4,Ignore,3,
000,Bright,0,17,000_0_17,17,B,3,4,Ignore,,1,,CorrectRejection,正解（無視(IGNORE)：押さない）,000_0_17_B_3_KeiTruck_sharpness0.456_equalization2.019_brightness24.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\3_KeiTruck.png,sharpness,0.456,equalization,2.019,brightness,24.0,4,Ignore,3,
000,Bright,0,18,000_0_18,18,Q,2,4,Ignore,,1,,CorrectRejection,正解（無視(IGNORE)：押さない）,000_0_18_Q_2_KeiTruck_contrast1.472_brightness49_sharpness1.166.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\2_KeiTruck.png,contrast,1.472,brightness,49.0,sharpness,1.166,4,Ignore,2,
000,Bright,0,19,000_0_19,19,C,2,4,Ignore,,1,,CorrectRejection,正解（無視(IGNORE)：押さない）,000_0_19_C_2_levorg_sharpness0.568_brightness30_gamma1.189.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\2_levorg.png,sharpness,0.568,brightness,30.0,gamma,1.189,4,Ignore,2,
000,Bright,0,20,000_0_20,20,P,1,4,Ignore,,1,,CorrectRejection,正解（無視(IGNORE)：押さない）,000_0_20_P_1_taxi_brightness-46_blur3_contrast0.662.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\1_taxi.png,brightness,-46.0,blur,3.0,contrast,0.662,4,Ignore,1,
000,Bright,0,21,000_0_21,21,9,9,1,Match,,0,,Omission,無反応（ターゲット）,000_0_21_9_9_KeiTruck_brightness50_blur2_gamma0.782.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\9_KeiTruck.png,brightness,50.0,blur,2.0,gamma,0.782,1,Match,9,
000,Bright,0,22,000_0_22,22,F,1,4,Ignore,t,0,1.1781940460205078,FalseAlarm,誤反応（無視(IGNORE)で押した）,000_0_22_F_1_levorg_brightness-3_blur3_equalization3.586.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\1_levorg.png,brightness,-3.0,blur,3.0,equalization,3.586,4,Ignore,1,2025-12-21 02:48:40.390437
000,Bright,0,23,000_0_23,23,X,6,4,Ignore,,1,,CorrectRejection,正解（無視(IGNORE)：押さない）,000_0_23_X_6_KeiTruck_equalization2.975_brightness48_contrast0.63.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\6_KeiTruck.png,equalization,2.975,brightness,48.0,contrast,0.63,4,Ignore,6,
000,Bright,0,24,000_0_24,24,Z,9,4,Ignore,,1,,CorrectRejection,正解（無視(IGNORE)：押さない）,000_0_24_Z_9_KeiTruck_blur1_gamma0.718_equalization3.212.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\9_KeiTruck.png,blur,1.0,gamma,0.718,equalization,3.212,4,Ignore,9,
000,Bright,0,25,000_0_25,25,1,1,1,Match,,0,,Omission,無反応（ターゲット）,000_0_25_1_1_taxi_equalization2.729_brightness7_contrast0.614.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\1_taxi.png,equalization,2.729,brightness,7.0,contrast,0.614,1,Match,1,
000,Bright,0,26,000_0_26,26,M,1,4,Ignore,t,0,1.0890657901763916,FalseAlarm,誤反応（無視(IGNORE)で押した）,000_0_26_M_1_KeiTruck_blur4_brightness-43_contrast0.641.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\1_KeiTruck.png,blur,4.0,brightness,-43.0,contrast,0.641,4,Ignore,1,2025-12-21 02:48:50.301451
000,Bright,0,27,000_0_27,27,K,1,4,Ignore,,1,,CorrectRejection,正解（無視(IGNORE)：押さない）,000_0_27_K_1_levorg_gamma1.625_blur1_brightness48.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\1_levorg.png,gamma,1.625,blur,1.0,brightness,48.0,4,Ignore,1,
000,Bright,0,28,000_0_28,28,5,3,2,Mismatch,,0,,Omission,無反応（ターゲット）,000_0_28_5_3_truck_sharpness0.238_blur4_brightness19.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\3_truck.png,sharpness,0.238,blur,4.0,brightness,19.0,2,Mismatch,3,
000,Bright,0,29,000_0_29,29,Y,6,4,Ignore,b,0,1.0999209880828857,FalseAlarm,誤反応（無視(IGNORE)で押した）,000_0_29_Y_6_taxi_blur2_equalization3.193_brightness11.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\6_taxi.png,blur,2.0,equalization,3.193,brightness,11.0,4,Ignore,6,2025-12-21 02:48:57.812433
000,Bright,0,30,000_0_30,30,3,3,1,Match,,0,,Omission,無反応（ターゲット）,000_0_30_3_3_levorg_blur1_brightness-46_gamma0.553.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\3_levorg.png,blur,1.0,brightness,-46.0,gamma,0.553,1,Match,3,
000,Bright,0,31,000_0_31,31,4,2,2,Mismatch,t,0,1.0772340297698975,FalseAlarm,誤り（不一致なのにb以外）,000_0_31_4_2_KeiTruck_equalization1.487_gamma1.089_blur2.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\2_KeiTruck.png,equalization,1.487,gamma,1.089,blur,2.0,2,Mismatch,2,2025-12-21 02:49:02.789889
000,Bright,0,32,000_0_32,32,F,8,4,Ignore,b,0,2.1776058673858643,FalseAlarm,誤反応（無視(IGNORE)で押した）,000_0_32_F_8_levorg_brightness36_blur3_sharpness1.482.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\8_levorg.png,brightness,36.0,blur,3.0,sharpness,1.482,4,Ignore,8,2025-12-21 02:49:06.390072
000,Bright,0,33,000_0_33,33,E,6,4,Ignore,,1,,CorrectRejection,正解（無視(IGNORE)：押さない）,000_0_33_E_6_truck_gamma0.595_blur3_equalization1.985.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\6_truck.png,gamma,0.595,blur,3.0,equalization,1.985,4,Ignore,6,
000,Bright,0,34,000_0_34,34,J,6,4,Ignore,,1,,CorrectRejection,正解（無視(IGNORE)：押さない）,000_0_34_J_6_truck_brightness2_blur4_sharpness0.845.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\6_truck.png,brightness,2.0,blur,4.0,sharpness,0.845,4,Ignore,6,
000,Bright,0,35,000_0_35,35,Y,9,4,Ignore,,1,,CorrectRejection,正解（無視(IGNORE)：押さない）,000_0_35_Y_9_taxi_sharpness1.908_contrast1.212_brightness-25.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\9_taxi.png,sharpness,1.908,contrast,1.212,brightness,-25.0,4,Ignore,9,
000,Bright,0,36,000_0_36,36,W,2,4,Ignore,,1,,CorrectRejection,正解（無視(IGNORE)：押さない）,000_0_36_W_2_truck_equalization1.096_gamma1.012_brightness13.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\2_truck.png,equalization,1.096,gamma,1.012,brightness,13.0,4,Ignore,2,
000,Bright,0,37,000_0_37,37,B,9,4,Ignore,,1,,CorrectRejection,正解（無視(IGNORE)：押さない）,000_0_37_B_9_levorg_brightness-25_contrast0.538_blur4.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\9_levorg.png,brightness,-25.0,contrast,0.538,blur,4.0,4,Ignore,9,
000,Bright,0,38,000_0_38,38,7,7,1,Match,,0,,Omission,無反応（ターゲット）,000_0_38_7_7_KeiTruck_sharpness0.251_gamma1.492_blur2.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\7_KeiTruck.png,sharpness,0.251,gamma,1.492,blur,2.0,1,Match,7,
000,Bright,0,39,000_0_39,39,5,8,2,Mismatch,t,0,1.2499492168426514,FalseAlarm,誤り（不一致なのにb以外）,000_0_39_5_8_KeiTruck_contrast0.975_equalization3.874_brightness37.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\8_KeiTruck.png,contrast,0.975,equalization,3.874,brightness,37.0,2,Mismatch,8,2025-12-21 02:49:22.962391
000,Bright,0,40,000_0_40,40,7,3,2,Mismatch,b,1,1.154557704925537,CorrectRejection,正解（不一致：b）,000_0_40_7_3_KeiTruck_sharpness0.098_contrast1.311_equalization1.386.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\3_KeiTruck.png,sharpness,0.098,contrast,1.311,equalization,1.386,2,Mismatch,3,2025-12-21 02:49:25.366680
000,Bright,0,41,000_0_41,41,J,6,4,Ignore,b,0,2.0857162475585938,FalseAlarm,誤反応（無視(IGNORE)で押した）,000_0_41_J_6_levorg_sharpness0.924_brightness-17_contrast0.828.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\6_levorg.png,sharpness,0.924,brightness,-17.0,contrast,0.828,4,Ignore,6,2025-12-21 02:49:28.798812
000,Bright,0,42,000_0_42,42,8,5,2,Mismatch,,0,,Omission,無反応（ターゲット）,000_0_42_8_5_levorg_brightness39_blur2_sharpness0.092.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\5_levorg.png,brightness,39.0,blur,2.0,sharpness,0.092,2,Mismatch,5,
000,Bright,0,43,000_0_43,43,B,4,4,Ignore,b,0,1.976393461227417,FalseAlarm,誤反応（無視(IGNORE)で押した）,000_0_43_B_4_levorg_sharpness1.243_brightness42_equalization3.715.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\4_levorg.png,sharpness,1.243,brightness,42.0,equalization,3.715,4,Ignore,4,2025-12-21 02:49:33.688754
000,Bright,0,44,000_0_44,44,Y,3,4,Ignore,,1,,CorrectRejection,正解（無視(IGNORE)：押さない）,000_0_44_Y_3_levorg_gamma1.381_sharpness0.58_brightness-43.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\3_levorg.png,gamma,1.381,sharpness,0.58,brightness,-43.0,4,Ignore,3,
000,Bright,0,45,000_0_45,45,R,8,4,Ignore,,1,,CorrectRejection,正解（無視(IGNORE)：押さない）,000_0_45_R_8_mazda_blur4_sharpness0.074_equalization1.978.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\8_mazda.png,blur,4.0,sharpness,0.074,equalization,1.978,4,Ignore,8,
000,Bright,0,46,000_0_46,46,L,3,4,Ignore,,1,,CorrectRejection,正解（無視(IGNORE)：押さない）,000_0_46_L_3_levorg_blur3_sharpness1.302_contrast1.457.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\3_levorg.png,blur,3.0,sharpness,1.302,contrast,1.457,4,Ignore,3,
000,Bright,0,47,000_0_47,47,8,4,2,Mismatch,,0,,Omission,無反応（ターゲット）,000_0_47_8_4_truck_sharpness0.547_brightness29_equalization1.182.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\4_truck.png,sharpness,0.547,brightness,29.0,equalization,1.182,2,Mismatch,4,
000,Bright,0,48,000_0_48,48,U,0,4,Ignore,b,0,1.670060157775879,FalseAlarm,誤反応（無視(IGNORE)で押した）,000_0_48_U_0_taxi_gamma0.539_blur3_contrast0.815.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\0_taxi.png,gamma,0.539,blur,3.0,contrast,0.815,4,Ignore,0,2025-12-21 02:49:45.882790
